text,correction
## Hllo World!,## Hello World!
I enjoy using [mardown for documenttion](https://example.com).,I enjoy using [markdown for documentation](https://example.com).
- Bullet poitns are usefull,- Bullet points are useful
**This is bold text with a tyypo**,**This is bold text with a typo**
IBM Catalog Solutions which **requires pre-requisite Schematics Workspace ID**,IBM Catalog Solutions **requiring pre-requisite Schematics Workspace ID**
1.  [Markdown](https://example.com) Frist item in a list,1.  [Markdown](https://example.com) First item in a list
![Alt txt](image.jpg),![Alt text](image.jpg)
> Blockqoute with mispellings,> Blockquote with misspellings
Use `inline code` to highlight code snippits,Use `inline code` to highlight code snippets.
# Header 1 with a mistake,# Header 1 with a Mistake
### Thid level header is usefull,### Third Level Header is Useful
#### The smallet header,#### The Smallest Header
"Multi-line text with issues:
- This is the first line,
- and this is the secon one.","Multi-line text with issues:
- This is the first line,
- And this is the second one."
"Numbered list with issues:
1. This is the first point
1. and this is the secon point","Numbered list with issues:
1. This is the first point
1. And this is the second point."
## Headers are important for strcuture,## Headers are important for structure
My favorite thing about Markdown is it's simplicity and ease of use.,What I appreciate most about Markdown is its simplicity and user-friendliness.
![Image without alt text](image.jpg),![Image without alt text](image.jpg)
"Reference-style links are also valid: [Markdown][1]

[1]: https://example.com","Reference-style links are also valid: [Markdown][1]

[1]: https://example.com"
"IBM Cloud Satellite helps you deploy and run applications consistently across all on-premises, edge computing, and public cloud environments from any cloud vendor. It standardizes a core set of Kubernetes, data, AI, and security services to be centrally managed as a service by IBM Cloud, with full visibility across all environments through a single pane of glass. The result is greater developer productivity and development velocity.","IBM Cloud Satellite enables consistent deployment and operation of applications across all on-premises, edge computing, and public cloud environments from various cloud providers. It harmonizes a fundamental set of Kubernetes, data, AI, and security services to be centrally administered as a service by IBM Cloud, offering comprehensive oversight across all environments via a unified interface. This leads to enhanced developer productivity and accelerated development pace."
# IBM module,# IBM Module
Example generating a markdown link: https://cloud.ibm.com/docs/satellite?topic=satellite-getting-started. This is an existing markdown link [About DNS sharing for VPE gateways](https://cloud.ibm.com/docs/vpc?topic=vpc-hub-spoke-model).,Example generating a markdown link: [IBM Cloud Satellite Getting Started](https://cloud.ibm.com/docs/satellite?topic=satellite-getting-started). This is an existing markdown link [About DNS sharing for VPE gateways](https://cloud.ibm.com/docs/vpc?topic=vpc-hub-spoke-model).
"Creates and configures **1 HANA instance, 0 to N NetWeaver instances and 1 Optional ShareFS** with **RHEL or SLES OS** distribution.","Creates and configures **one HANA instance, zero to several NetWeaver instances and one optional ShareFS** with **RHEL or SLES OS** distribution."
"The [usage example](../../examples/fscloud/) demonstrates how to set the enforcement mode to 'enabled' for the key protect (""kms"") service.","The [usage example](../../examples/fscloud/) demonstrates how to set the enforcement mode to 'enabled' for the Key Protect (""kms"") service."
    Please live the spaces and tabs as in te original.,    Please leave the spaces and tabs as in the original.
"![Architecture diagram of the OpenShift Container Platform on VPC deployable architecture](roks.drawio.svg ""Architecture diagram of Red Hat OpenShift Container Platform on VPC landing zone deployable architecture""){{: caption=""Figure 1. Single region architecture diagram for Red Hat OpenShift Container Platform on VPC on IBM Cloud"" caption-side=""bottom""}}{{: external download=""roks.drawio.svg""}}","![Architecture diagram of the OpenShift Container Platform on VPC deployable architecture](roks.drawio.svg ""Architecture diagram of the OpenShift Container Platform on VPC deployable architecture""){{: caption=""Figure 1. Single region architecture diagram for Red Hat OpenShift Container Platform on VPC on IBM Cloud"" caption-side=""bottom""}}{{: external download=""roks.drawio.svg""}}"
deployment-url: https://cloud.ibm.com/catalog/architecture/deploy-arch-ibm-slz-ocp-95fccffc-ae3b-42df-b6d9-80be5914d852-global,deployment-url: https://cloud.ibm.com/catalog/architecture/deploy-arch-ibm-slz-ocp-95fccffc-ae3b-42df-b6d9-80be5914d852-global
"- Data retention, [lifecycle](https://cloud.ibm.com/docs/cloud-object-storage?topic=cloud-object-storage-archive) and archiving options","- Data retention, [lifecycle](https://cloud.ibm.com/docs/cloud-object-storage?topic=cloud-object-storage-archive), and archiving options."
- IBM Cloud VPC Infrastructure Services (IS) -> Cloud Object Storage (COS),- IBM Cloud VPC Infrastructure Services (IS) -> Cloud Object Storage (COS)
"See in particular the [fscloud module](./modules/fscloud/) that enables creating an opiniated account-level coarse-grained set of CBR rules and zones aligned with the ""secure by default"" principles.","Please refer to the [fscloud module](./modules/fscloud/) for creating an opinionated account-level coarse-grained set of CBR rules and zones that align with the ""secure by default"" principles."
"- [terraform-ibm-cbr](#terraform-ibm-cbr)
- [Submodules](./modules)
    - [cbr-rule-module](./modules/cbr-rule-module)","- [terraform-ibm-cbr](#terraform-ibm-cbr)
- [Submodules](./modules)
    - [cbr-rule-module](./modules/cbr-rule-module)"
"use-case: ITServiceManagement
industry: Technology","use-case: ITServiceManagement
industry: Technology"
# Pre-wired CBR configuration for FS Cloud example,# Pre-wired CBR configuration for FS Cloud example
